country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Finland,263,133,97,8.7478413
France,127,151,370,11.4981768
Gabon,347,98,59,8.9430264
Gambia,8,0,1,0.1596969
Georgia,52,100,149,5.3409741
Germany,346,117,175,11.3207358
Ghana,31,3,10,0.7807404
Greece,133,112,218,8.2155183
Grenada,199,438,28,11.7998265
Guatemala,53,69,2,2.2002684
Guinea,9,0,2,0.1951851
Guinea-Bissau,28,31,21,1.419528
Guyana,93,302,1,7.0266636
Haiti,1,326,1,5.8200648
Honduras,69,98,2,2.9987529
Hungary,234,215,185,11.2497594
Iceland,233,61,78,6.6008052
India,9,114,0,2.1825243
Indonesia,5,1,0,0.1064646
Iran,0,0,0,0
Iraq,9,3,0,0.2129292
Ireland,313,118,165,10.5754836
Israel,63,69,9,2.5019181
Italy,85,42,237,6.4588524
Jamaica,82,97,9,3.3358908
Japan,77,202,16,5.2345095
Jordan,6,21,1,0.4968348
Kazakhstan,124,246,12,6.7782462
Kenya,58,22,2,1.4550162
Kiribati,21,34,1,0.9936696
Kuwait,0,0,0,0
Kyrgyzstan,31,97,6,2.3777094
Laos,62,0,123,3.2826585
Latvia,281,216,62,9.9189519
Lebanon,20,55,31,1.8808746
Lesotho,82,29,0,1.9695951
Liberia,19,152,2,3.0697293
Libya,0,0,0,0
Lithuania,343,244,56,11.4094563
Luxembourg,236,133,271,11.356224
Macedonia,9,27,86,2.1647802
Madagascar,26,15,4,0.7984845
Malawi,8,11,1,0.354882
Malaysia,13,4,0,0.3016497
Maldives,0,0,0,0
Mali,5,1,1,0.1242087
Malta,149,100,120,6.5475729
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,98,31,18,2.6083827
Mexico,238,68,5,5.5184151
Micronesia,62,50,18,2.306733
Moldova,109,226,18,6.2636673
Monaco,0,0,0,0
Mongolia,77,189,8,4.8618834
Montenegro,31,114,128,4.8441393
Morocco,12,6,10,0.4968348
Mozambique,47,18,5,1.242087
Myanmar,5,1,0,0.1064646
Namibia,376,3,1,6.742758
Nauru,49,0,8,1.0114137
Nepal,5,6,0,0.1951851
Netherlands,251,88,190,9.3866289
New Zealand,203,79,175,8.1090537
Nicaragua,78,118,1,3.4955877
Niger,3,2,1,0.1064646
Nigeria,42,5,2,0.8694609
Niue,188,200,7,7.0089195
North Korea,0,0,0,0
Norway,169,71,129,6.5475729
Oman,22,16,1,0.6920199
Pakistan,0,0,0,0
Palau,306,63,23,6.9556872
Panama,285,104,18,7.2218487
Papua New Guinea,44,39,1,1.4905044
Paraguay,213,117,74,7.1686164
Peru,163,160,21,6.1039704
Philippines,71,186,1,4.5779778
Poland,343,215,56,10.8948774
Portugal,194,67,339,10.64646
Qatar,1,42,7,0.887205
Romania,297,122,167,10.3980426
Russian Federation,247,326,73,11.4626886
Rwanda,43,2,0,0.7984845
Samoa,105,18,24,2.6083827
San Marino,0,0,0,0
Sao Tome & Principe,56,38,140,4.1521194
Saudi Arabia,0,5,0,0.0887205
Senegal,9,1,7,0.3016497
Serbia,283,131,127,9.5995581
Seychelles,157,25,51,4.1343753
Sierra Leone,25,3,2,0.532323
Singapore,60,12,11,1.4727603
Slovakia,196,293,116,10.7351805
Slovenia,270,51,276,10.5932277
Solomon Islands,56,11,1,1.2065988
Somalia,0,0,0,0
South Africa,225,76,81,6.7782462
South Korea,140,16,9,2.9277765
Spain,284,157,112,9.8124873
Sri Lanka,16,104,0,2.129292
St. Kitts & Nevis,194,205,32,7.6477071
St. Lucia,171,315,71,9.8834637
St. Vincent & the Grenadines,120,221,11,6.2459232
Sudan,8,13,0,0.3726261
Suriname,128,178,7,5.5539033
Swaziland,90,2,2,1.6679454
Sweden,152,60,186,7.0621518
Switzerland,185,100,280,10.0254165
Syria,5,35,16,0.9936696
Tajikistan,2,15,0,0.3016497
Tanzania,36,6,1,0.7629963
Thailand,99,258,1,6.3523878
Timor-Leste,1,1,4,0.1064646
Togo,36,2,19,1.0114137
Tonga,36,21,5,1.1001342
Trinidad & Tobago,197,156,7,6.387876
Tunisia,51,3,20,1.3130634
Turkey,51,22,7,1.419528
Turkmenistan,19,71,32,2.1647802
Tuvalu,6,41,9,0.9936696
Uganda,45,9,0,0.9581814
Ukraine,206,237,45,8.6591208
United Arab Emirates,16,135,5,2.7680796
United Kingdom,219,126,195,9.581814
Uruguay,115,35,220,6.565317
USA,249,158,84,8.7123531
Uzbekistan,25,101,8,2.3777094
Vanuatu,21,18,11,0.887205
Venezuela,333,100,3,7.7364276
Vietnam,111,2,1,2.0228274
Yemen,6,0,0,0.1064646
Zambia,32,19,4,0.9759255
Zimbabwe,64,18,4,1.5259926
